"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","event_id","eq_type","event_type","station_count","quality_usedPhaseCount","evaluationStatus","creationInfo_author"
2023-01-12 07:50:09,-0.6862,1.4142,-78.4208,1.4142,1.6300,3.4000,0.5607,igepn2023avby,LP,volcanic eruption,5.0000,7.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-12 03:47:51,-0.6970,0.4950,-78.4303,0.4950,2.7000,3.4000,0.6404,igepn2023auty,LP,volcanic eruption,5.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-12 00:01:48,-0.6487,0.9192,-78.4500,0.9192,-5.0000,0.8000,0.5994,igepn2023aumm,LP,volcanic eruption,5.0000,7.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-11 12:53:35,-0.6875,0.1414,-78.4382,0.1414,3.3800,0.5000,0.4682,igepn2023atql,VT,volcanic eruption,4.0000,7.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-11 10:53:17,-0.6978,0.6364,-78.4303,0.6364,-0.4300,2.6000,1.3445,igepn2023atml,LP,volcanic eruption,5.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-11 09:58:40,-0.7133,0.4243,-78.4170,0.4243,2.0000,5.2000,1.5483,igepn2023atkr,LP,volcanic eruption,5.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-11 09:36:04,-0.6865,0.8485,-78.4495,0.8485,2.9200,2.6000,1.7892,igepn2023atjx,LP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-10 04:45:16,-0.6828,0.4950,-78.4408,0.4950,4.3400,3.6000,0.8342,igepn2023arew,LP,volcanic eruption,5.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-09 23:24:16,-0.6855,2.6163,-78.4408,2.6163,-1.0000,2.2000,0.4075,igepn2023aqug,LP,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-09 06:10:42,-0.6825,0.4243,-78.4338,0.4243,4.0000,2.2000,1.3245,igepn2023apmd,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-09 01:38:26,-0.6668,0.6364,-78.4288,0.6364,1.0000,0.9000,0.8539,igepn2023apde,LP,volcanic eruption,4.0000,7.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-08 10:23:06,-0.7007,0.9899,-78.4408,0.9899,-2.0000,2.5000,0.7076,igepn2023anyy,LP,volcanic eruption,6.0000,8.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-08 10:10:01,-0.6793,0.2121,-78.4353,0.2121,3.9400,0.5000,0.7572,igepn2023anyp,LP,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-08 07:11:36,-0.6673,0.7071,-78.4272,0.7071,3.2000,1.1000,0.6950,igepn2023ansr,LP,volcanic eruption,5.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-08 06:39:06,-0.7043,0.4243,-78.4207,0.4243,-4.6700,1.6000,0.5983,igepn2023anrp,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-07 13:21:41,-0.6892,0.4950,-78.4335,0.4950,4.2600,3.9000,1.2367,igepn2023amjj,LP,volcanic eruption,5.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-07 06:08:38,-0.7125,2.0506,-78.4213,2.0506,2.3500,7.6000,0.6897,igepn2023alvb,LP,volcanic eruption,3.0000,7.0000,reviewed,aojeda@sc-gui.igepn.edu.ec
2023-01-06 06:07:46,-0.6975,0.4243,-78.4420,0.4243,3.3600,2.2000,1.1590,igepn2023ajzm,LP,volcanic eruption,5.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-05 22:50:32,-0.6797,0.6364,-78.4475,0.6364,0.7900,3.3000,0.4532,igepn2023ajld,LP,volcanic eruption,5.0000,7.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-05 21:47:26,-0.6800,0.4950,-78.4093,0.4950,-4.9400,0.3000,0.6947,igepn2023ajja,LP,volcanic eruption,5.0000,8.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-05 20:14:51,-0.6900,0.2828,-78.4438,0.2828,3.0000,1.0000,0.8466,igepn2023ajfy,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-05 19:53:30,-0.6822,0.2828,-78.4323,0.2828,1.7900,0.8000,1.1312,igepn2023ajfg,LP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-05 05:06:30,-0.6563,0.5657,-78.4408,0.5657,-1.9000,1.0000,1.5801,igepn2023aica,VLP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-05 04:18:25,-0.6698,0.7778,-78.4713,0.7778,2.7000,2.7000,1.1865,igepn2023aial,LP,volcanic eruption,4.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-04 00:46:21,-0.6902,1.9799,-78.4192,1.9799,2.8000,4.3000,1.2177,igepn2023afxy,LP,volcanic eruption,3.0000,8.0000,reviewed,aojeda@sc-gui.igepn.edu.ec
2023-01-03 21:13:02,-0.6928,1.1314,-78.4408,1.1314,-1.0000,1.4000,1.1695,igepn2023afqx,LP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-03 19:55:43,-0.6875,0.7071,-78.4503,0.7071,-2.0000,1.5000,1.0744,igepn2023afoi,LP,volcanic eruption,5.0000,9.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-03 17:45:25,-0.6673,1.3435,-78.4408,1.3435,-0.2100,2.9000,1.1313,igepn2023afkb,LP,volcanic eruption,5.0000,11.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-03 16:49:42,-0.6948,0.2828,-78.4400,0.2828,-0.4300,0.6000,0.8461,igepn2023afig,VLP,volcanic eruption,5.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-03 04:01:46,-0.6965,0.8485,-78.4408,0.8485,-1.0000,2.7000,0.6732,igepn2023aeiw,LP,volcanic eruption,4.0000,10.0000,reviewed,jsanto@sc-gui.igepn.edu.ec
2023-01-03 03:20:17,-0.6823,0.9192,-78.4367,0.9192,-1.0000,0.9000,1.2386,igepn2023aehm,VLP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-03 02:53:29,-0.6782,0.2121,-78.4423,0.2121,-3.0400,0.2000,0.4142,igepn2023aegp,LP,volcanic eruption,3.0000,6.0000,reviewed,jsanto@sc-gui.igepn.edu.ec
2023-01-02 23:34:38,-0.6682,0.8485,-78.4530,0.8485,-5.0900,0.9000,0.2992,igepn2023aeaa,LP,volcanic eruption,4.0000,8.0000,reviewed,jsanto@sc-gui.igepn.edu.ec
2023-01-02 21:44:46,-0.6652,1.2021,-78.4423,1.2021,-4.0000,1.0000,0.9205,igepn2023adwl,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-02 19:43:09,-0.6800,0.5657,-78.4277,0.5657,-2.6700,1.5000,0.9294,igepn2023adsk,LP,volcanic eruption,5.0000,7.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-02 18:24:17,-0.6850,1.2021,-78.4535,1.2021,-5.0000,2.1000,0.9588,igepn2023adpu,LP,volcanic eruption,5.0000,9.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-02 15:52:30,-0.6673,2.8284,-78.4408,2.8284,-6.0200,3.9000,0.6680,igepn2023adkv,LP,volcanic eruption,5.0000,9.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2023-01-02 13:52:13,-0.6673,1.7678,-78.4408,1.7678,-3.0000,2.2000,0.6855,igepn2023adgv,VLP,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-02 04:02:49,-0.6657,1.4142,-78.4158,1.4142,2.7000,2.1000,1.1703,igepn2023acnj,LP,volcanic eruption,3.0000,8.0000,reviewed,evillareal@sc-gui.igepn.edu.ec
2023-01-02 02:57:41,-0.5602,0.7778,-78.4568,0.7778,-5.0000,1.5000,0.6437,igepn2023aclg,VTD,volcanic eruption,5.0000,19.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2023-01-01 23:34:49,-0.6242,1.1314,-78.4632,1.1314,-3.2300,2.1000,0.3378,igepn2023aceo,LP,volcanic eruption,4.0000,10.0000,reviewed,evillareal@sc-gui.igepn.edu.ec
2023-01-01 10:05:59,-0.6662,0.4950,-78.4173,0.4950,3.6000,1.4000,0.9996,igepn2023abdw,LP,volcanic eruption,4.0000,9.0000,reviewed,lgusqui@sc-gui.igepn.edu.ec
2022-12-31 23:26:28,-0.6002,0.7778,-78.3793,0.7778,-4.1100,1.0000,0.1048,igepn2023aaiu,VT,volcanic eruption,4.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-31 23:25:25,-0.6923,1.0607,-78.4303,1.0607,-2.2000,2.8000,1.0537,igepn2023aait,LP,volcanic eruption,5.0000,11.0000,reviewed,evillareal@sc-gui.igepn.edu.ec
2022-12-31 11:16:52,-0.6652,0.6364,-78.4317,0.6364,2.3900,0.3000,0.0314,igepn2022zqhf,VT,volcanic eruption,4.0000,8.0000,reviewed,acordova
2022-12-30 10:20:50,-0.6840,1.4849,-78.4325,1.4849,3.1400,3.4000,0.7231,igepn2022zojy,LP,volcanic eruption,3.0000,6.0000,reviewed,jsanto@sc-gui.igepn.edu.ec
2022-12-29 22:27:50,-0.6820,0.7071,-78.4240,0.7071,1.9500,2.3000,0.9342,igepn2022znmm,LP,volcanic eruption,5.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-29 13:13:57,-0.5540,0.3536,-78.4285,0.3536,-7.0000,0.8000,1.7864,igepn2022zmuf,VTD,volcanic eruption,9.0000,27.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-29 03:49:28,-0.6822,0.6364,-78.4318,0.6364,1.4000,1.8000,0.8541,igepn2022zmbq,VLP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-29 01:29:35,-0.6963,0.6364,-78.4173,0.6364,3.0000,3.2000,0.9786,igepn2022zlwy,LP,volcanic eruption,4.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-28 05:47:19,-0.6815,0.1414,-78.4365,0.1414,2.7400,0.6000,1.2077,igepn2022zkjv,LP,volcanic eruption,5.0000,8.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2022-12-28 04:15:31,-0.6900,1.6263,-78.4408,1.6263,-2.0000,3.9000,0.6797,igepn2022zkha,LP,volcanic eruption,4.0000,8.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2022-12-28 01:41:47,-0.6802,2.4749,-78.4423,2.4749,-1.0000,2.3000,0.7978,igepn2022zkbw,LP,volcanic eruption,6.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-27 21:05:20,-0.6763,1.1314,-78.4158,1.1314,-2.0000,1.1000,1.2269,igepn2022zjst,LP,volcanic eruption,6.0000,12.0000,reviewed,pcruz@srvpicados.igepn.edu.ec
2022-12-27 14:25:36,-0.6928,0.4950,-78.4360,0.4950,2.8700,2.0000,1.5770,igepn2022zjfn,VT,volcanic eruption,5.0000,9.0000,reviewed,acordova
2022-12-27 12:51:54,-0.6837,1.3435,-78.4532,1.3435,2.4300,1.3000,0.9382,igepn2022zjcm,LP,volcanic eruption,4.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-26 23:15:03,-0.6580,1.4849,-78.4358,1.4849,2.7000,1.7000,0.5290,igepn2022zibf,LP,volcanic eruption,4.0000,6.0000,reviewed,acordova
2022-12-26 17:45:36,-0.6708,1.0607,-78.4458,1.0607,4.0100,1.4000,0.9394,igepn2022zhqq,LP,volcanic eruption,6.0000,9.0000,reviewed,gviracucha@sc-gui.igepn.edu.ec
2022-12-26 17:15:55,-0.7002,1.3435,-78.4092,1.3435,-1.0000,2.9000,0.8429,igepn2022zhpr,LP,volcanic eruption,4.0000,7.0000,reviewed,acordova
2022-12-26 08:16:35,-0.6705,0.4950,-78.4488,0.4950,3.9600,1.3000,1.3232,igepn2022zgxw,LP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-26 05:36:08,-0.6775,0.3536,-78.4200,0.3536,3.3500,1.4000,0.6226,igepn2022zgsp,LP,volcanic eruption,6.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-26 04:51:40,-0.6517,0.4950,-78.4512,0.4950,-2.3700,0.9000,0.9209,igepn2022zgqz,LP,volcanic eruption,6.0000,10.0000,reviewed,acordova
2022-12-26 03:05:09,-0.6623,0.5657,-78.4368,0.5657,-1.0000,0.8000,0.4168,igepn2022zgnq,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-26 02:01:20,-0.6858,0.4243,-78.4328,0.4243,-0.0600,1.4000,0.3814,igepn2022zglm,LP,volcanic eruption,6.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-25 23:39:00,-0.6845,0.3536,-78.4237,0.3536,1.0000,1.0000,0.7764,igepn2022zggu,LP,volcanic eruption,5.0000,9.0000,reviewed,acordova
2022-12-25 21:40:07,-0.6988,0.3536,-78.4213,0.3536,1.6000,1.8000,0.8789,igepn2022zgcw,LP,volcanic eruption,5.0000,8.0000,reviewed,acordova
2022-12-25 13:07:34,-0.6862,0.6364,-78.4347,0.6364,-1.0000,1.7000,0.8076,igepn2022zflz,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-25 08:41:21,-0.6732,0.7071,-78.4375,0.7071,4.0000,1.5000,0.9960,igepn2022zfde,LP,volcanic eruption,6.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-25 07:58:06,-0.6932,0.3536,-78.4340,0.3536,-2.0000,0.9000,0.4039,igepn2022zfbt,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-25 07:54:09,-0.6827,0.2828,-78.4393,0.2828,0,0.7000,0.3062,igepn2022zfbq,LP,volcanic eruption,5.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-25 07:47:39,-0.6573,0.5657,-78.4018,0.5657,2.0000,0.8000,0.1570,igepn2022zfbk,LP,volcanic eruption,3.0000,6.0000,reviewed,lgusqui@sc-gui.igepn.edu.ec
2022-12-25 05:50:36,-0.6960,1.0607,-78.4388,1.0607,3.0700,1.4000,1.6562,igepn2022zexo,LP,volcanic eruption,8.0000,20.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-25 04:35:45,-0.6317,0.2121,-78.4435,0.2121,-2.7900,0.2000,0.0631,igepn2022zevc,VT,volcanic eruption,5.0000,15.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-25 01:17:32,-0.6673,0.2121,-78.4278,0.2121,3.6000,0.9000,0.6624,igepn2022zeoo,LP,volcanic eruption,3.0000,6.0000,reviewed,evillareal@sc-gui.igepn.edu.ec
2022-12-24 18:02:45,-0.6652,1.6263,-78.4423,1.6263,-2.0000,2.5000,1.0233,igepn2022zeaf,LP,volcanic eruption,5.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 15:15:02,-0.6673,2.7577,-78.4408,2.7577,-2.0000,4.3000,0.8205,igepn2022zdur,LP,volcanic eruption,6.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 13:05:59,-0.6998,0.3536,-78.4192,0.3536,1.7800,2.0000,1.1084,igepn2022zdqk,LP,volcanic eruption,5.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 10:57:21,-0.6758,0.7778,-78.4263,0.7778,2.0000,2.0000,0.8473,igepn2022zdmf,VLP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 09:46:48,-0.6788,0.9192,-78.4235,0.9192,1.3900,2.1000,1.3693,igepn2022zdjs,LP,volcanic eruption,5.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 08:09:32,-0.6673,0.9192,-78.4305,0.9192,2.4000,1.8000,0.3295,igepn2022zdgq,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 07:20:36,-0.6673,0.3536,-78.4370,0.3536,0.5800,0.7000,1.1029,igepn2022zdfa,LP,volcanic eruption,6.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 06:27:51,-0.6673,0.7071,-78.4363,0.7071,2.0000,1.4000,0.7495,igepn2022zddh,LP,volcanic eruption,6.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 04:00:23,-0.6652,1.0607,-78.4413,1.0607,-4.7500,0.6000,0.4393,igepn2022zcyk,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 02:32:43,-0.6897,0.2121,-78.4570,0.2121,1.5500,1.0000,0.2610,igepn2022zcvp,LP,volcanic eruption,5.0000,7.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-24 02:16:01,-0.6827,0.4950,-78.4233,0.4950,1.8000,1.6000,0.7343,igepn2022zcuz,LP,volcanic eruption,6.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-23 23:57:48,-0.6725,0.9192,-78.4287,0.9192,2.4300,2.2000,0.7486,igepn2022zcqk,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-23 20:18:50,-0.6885,0.7071,-78.4360,0.7071,3.0000,3.2000,0.7919,igepn2022zcje,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-23 19:17:04,-0.6983,0.3536,-78.4177,0.3536,1.1000,1.3000,0.8142,igepn2022zchd,LP,volcanic eruption,5.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-23 18:57:53,-0.6575,0.9192,-78.4360,0.9192,1.2200,0.6000,0.2617,igepn2022zcgn,LP,volcanic eruption,5.0000,6.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-23 18:46:01,-0.6760,0.9192,-78.4408,0.9192,3.0000,1.8000,1.0980,igepn2022zcgd,LP,volcanic eruption,6.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-23 08:53:47,-0.6753,0.4243,-78.4243,0.4243,4.0200,2.5000,0.6413,igepn2022zbmp,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-22 22:00:02,-0.6627,0.3536,-78.4145,0.3536,4.1100,0.6000,0.8877,igepn2022zara,LP,volcanic eruption,6.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-22 18:28:00,-0.6505,0.4243,-78.4310,0.4243,3.7700,0.6000,0.5477,igepn2022zaka,LP,volcanic eruption,6.0000,10.0000,reviewed,gviracucha@sc-gui.igepn.edu.ec
2022-12-22 16:44:28,-0.6863,0.2121,-78.4560,0.2121,2.7400,0.8000,0.6652,igepn2022zagq,LP,volcanic eruption,5.0000,7.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-22 16:40:38,-0.6887,0.8485,-78.4487,0.8485,2.9200,2.7000,0.8925,igepn2022zagm,LP,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-22 16:18:38,-0.6625,0.6364,-78.4408,0.6364,4.2800,0.5000,0.9616,igepn2022zaft,LP,volcanic eruption,5.0000,9.0000,reviewed,gviracucha@sc-gui.igepn.edu.ec
2022-12-22 12:51:08,-0.6892,1.0607,-78.4423,1.0607,2.7000,3.6000,0.8732,igepn2022yzyx,LP,volcanic eruption,6.0000,10.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-22 00:36:28,-0.6667,0.4243,-78.4258,0.4243,3.6400,0.7000,0.5666,igepn2022yzar,LP,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-21 22:43:46,-0.6673,1.1314,-78.4388,1.1314,2.7000,1.2000,0.3587,igepn2022yywy,LP,volcanic eruption,4.0000,7.0000,reviewed,pcruz@sc-gui.igepn.edu.ec
2022-12-21 20:50:14,-0.6673,1.0607,-78.4318,1.0607,-3.0000,1.4000,1.0384,igepn2022yytf,LP,volcanic eruption,7.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-21 12:06:07,-0.5883,0.9192,-78.4190,0.9192,-2.1400,0.9000,0.8717,igepn2022yyby,VTD,volcanic eruption,6.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-21 08:57:43,-0.6757,1.7678,-78.4533,1.7678,-2.1000,2.5000,0.9916,igepn2022yxvs,LP,volcanic eruption,5.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-21 00:45:10,-0.6845,0.7071,-78.4360,0.7071,3.0000,2.7000,1.4463,igepn2022yxfm,LP,volcanic eruption,6.0000,12.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-20 22:56:23,-0.6695,0.1414,-78.4463,0.1414,3.6900,0.2000,0.6192,igepn2022yxbw,LP,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-20 19:54:34,-0.6788,1.3435,-78.4412,1.3435,-4.1000,2.2000,0.0089,igepn2022ywvx,VT,volcanic eruption,6.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-20 19:05:58,-0.6947,0.7071,-78.4360,0.7071,1.6800,2.7000,1.1467,igepn2022ywuh,LP,volcanic eruption,5.0000,11.0000,reviewed,lgusqui@sc-gui.igepn.edu.ec
2022-12-20 18:12:04,-0.6803,0.4950,-78.4432,0.4950,-0.5900,1.3000,1.1536,igepn2022ywsn,LP,volcanic eruption,5.0000,11.0000,reviewed,lgusqui@sc-gui.igepn.edu.ec
2022-12-18 16:10:50,-0.6958,0.6364,-78.4408,0.6364,2.8400,2.9000,0.7675,igepn2022ysxm,VT,volcanic eruption,6.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-18 05:02:51,-0.6673,3.5355,-78.4408,3.5355,-5.0000,1.6000,0.1358,igepn2022ysbl,LP,volcanic eruption,5.0000,7.0000,reviewed,mortiz@srvpicados.igepn.edu.ec
2022-12-18 04:26:41,-0.6908,0.4950,-78.4318,0.4950,-2.7400,1.2000,0.5343,igepn2022ysag,LP,volcanic eruption,5.0000,8.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-18 02:08:00,-0.6903,0.6364,-78.4325,0.6364,-3.0000,1.3000,0.9462,igepn2022yrvr,LP,volcanic eruption,7.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-17 23:00:44,-0.7092,0.4243,-78.4652,0.4243,-3.9800,0.4000,1.0254,igepn2022yrpn,LP,volcanic eruption,7.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-17 22:26:24,-0.6990,0.6364,-78.4158,0.6364,-1.1400,1.1000,0.6584,igepn2022yrok,VLP,volcanic eruption,6.0000,13.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-17 20:20:36,-0.6723,0.5657,-78.4408,0.5657,-1.0000,0.7000,0.7374,igepn2022yrkg,VT,volcanic eruption,6.0000,12.0000,reviewed,acordova
2022-12-17 15:54:26,-0.7005,0.4950,-78.4165,0.4950,2.5100,2.5000,0.6989,igepn2022yrbl,LP,volcanic eruption,6.0000,9.0000,reviewed,vlema@srvpicados.igepn.edu.ec
2022-12-17 15:02:23,-0.6890,0.7071,-78.4408,0.7071,0.9600,2.0000,0.9958,igepn2022yqzs,LP,volcanic eruption,6.0000,11.0000,reviewed,vlema@srvpicados.igepn.edu.ec
